project	proc	nsidNs	bpmnId	jpName	actionName	subjectField	severity
open-aviation-safety	notifyMilitaryNotam	aviationSafety	open_aviation_safety_notify_military_notam	軍事 NOTAM 通知	airspace.militaryNotam	notamId	info
open-airport-narita-ops	flagArmsCargoCustoms	airportNaritaOps	open_airport_narita_ops_flag_arms_cargo_customs	成田 武器貨物 通関	customs.armsCargo	cargoVid	high
open-airline-jal-ops	flagCargoArmsTransit	airlineJalOps	open_airline_jal_ops_flag_cargo_arms_transit	JAL 貨物 武器輸送	cargo.armsTransit	wayBillId	high
open-uas-traffic-management	flagWeaponizedDrone	uasTrafficManagement	open_uas_traffic_management_flag_weaponized_drone	武装ドローン フラグ	uas.weaponized	droneVid	critical
open-artemis-lunar	flagOuterSpaceTreatyViolation	artemisLunar	open_artemis_lunar_flag_outer_space_treaty_violation	外気圏宇宙条約 違反	space.ostBreach	missionVid	critical
open-iaea-safeguards	flagNuclearWeaponDiversion	iaeaSafeguards	open_iaea_safeguards_flag_nuclear_weapon_diversion	核物質 軍事転用 フラグ	nuclear.diversion	facilityVid	critical
open-disarmament-treaties	flagTreatyBreach	disarmamentTreaties	open_disarmament_treaties_flag_treaty_breach	軍縮条約 違反 (NPT/CTBT/BWC/CWC)	treaty.disarmamentBreach	partyCountry	critical
open-jpn-gov	registerFmsCase	openJpnGov	open_jpn_gov_register_fms_case	FMS 案件登録 (米→日)	boeiSho.fmsCase	fmsCaseId	info
open-jpn-gov	registerKokusanWeaponsExport	openJpnGov	open_jpn_gov_register_kokusan_weapons_export	国産武器輸出 (防衛装備移転三原則)	boeiSho.armsExport	exportPermitId	high
open-ocds-procurement	flagDefenceProcurement	ocdsProcurement	open_ocds_procurement_flag_defence_procurement	OCDS 防衛調達 フラグ	procurement.defence	tenderId	info
open-debarment-list	flagArmsDebarment	debarmentList	open_debarment_list_flag_arms_debarment	武器供給者 排除リスト	sanctions.armsDebarment	supplierLei	high
open-laws-autonomous-weapons	flagLawsDeployment	lawsAutonomousWeapons	open_laws_autonomous_weapons_flag_laws_deployment	LAWS 配備 フラグ	laws.deployment	systemVid	critical
open-genocide-convention	flagAtrocityArms	genocideConvention	open_genocide_convention_flag_atrocity_arms	ジェノサイド条約 武器関与	atrocity.armsLink	incidentVid	critical
open-poc-ihl	flagIhlBreachArms	pocIhl	open_poc_ihl_flag_ihl_breach_arms	国際人道法 違反 (武器)	ihl.armsBreach	incidentVid	critical
open-cyber-soc	escalateStateApt	cyberSoc	open_cyber_soc_escalate_state_apt	国家関与 APT エスカレーション	cyber.stateApt	aptId	critical
open-cyber-incident	linkIncidentToTreaty	cyberIncident	open_cyber_incident_link_incident_to_treaty	サイバー事案 → 条約紐付	cyber.treatyLink	incidentVid	high
open-mass-autonomous-ship	flagWeaponizedMass	massAutonomousShip	open_mass_autonomous_ship_flag_weaponized_mass	武装 MASS 検出	mass.weaponized	vesselVid	critical
open-fusion-energy	flagIcfWeaponsLink	fusionEnergy	open_fusion_energy_flag_icf_weapons_link	ICF 核兵器懸念	nuclear.icfWeaponsLink	facilityVid	critical
open-pandemic-treaty	flagBwcDualUse	pandemicTreaty	open_pandemic_treaty_flag_bwc_dual_use	BWC 軍民両用 フラグ	treaty.bwcDualUse	labVid	high
open-cyclone-prepo	flagMilitaryHadr	cyclonePrepo	open_cyclone_prepo_flag_military_hadr	災害派遣 (HA/DR) 軍事プレゼンス	hadr.militaryPresence	incidentVid	info
open-redsea-naval	flagFreedomOfNavigation	redseaNaval	open_redsea_naval_flag_freedom_of_navigation	紅海 航行自由	maritime.fonops	operationId	high
open-redsea-incident	flagShipMissileStrike	redseaIncident	open_redsea_incident_flag_ship_missile_strike	商船 ミサイル攻撃	maritime.missileStrike	incidentVid	critical
open-redsea-rerouting	flagSupplyChainImpact	redseaRerouting	open_redsea_rerouting_flag_supply_chain_impact	喜望峰迂回 sup-chain 影響	supply.redseaReroute	cargoVid	high
open-hormuz-darkfleet	flagIranSpoofing	hormuzDarkfleet	open_hormuz_darkfleet_flag_iran_spoofing	ホルムズ IRGC AIS spoof	maritime.iranSpoof	vesselVid	high
open-hormuz-incident	flagTankerHijack	hormuzIncident	open_hormuz_incident_flag_tanker_hijack	タンカー拿捕	maritime.tankerHijack	incidentVid	critical
open-malacca-incident	flagPiracyEscort	malaccaIncident	open_malacca_incident_flag_piracy_escort	マラッカ 海賊・護衛	maritime.piracyEscort	incidentVid	high
open-cell-broadcast-alert	notifyJalert	cellBroadcastAlert	open_cell_broadcast_alert_notify_jalert	J-アラート (北朝鮮ミサイル)	alert.jalert	alertId	critical
open-internet-shutdown	flagWartimeShutdown	internetShutdown	open_internet_shutdown_flag_wartime_shutdown	戦時通信遮断 フラグ	info.wartimeShutdown	incidentVid	high
open-encryption-debate	flagBackdoorMandate	encryptionDebate	open_encryption_debate_flag_backdoor_mandate	crypto backdoor 義務化	cyber.backdoorMandate	policyId	high
open-mining-operation	flagConflictMineral	miningOperation	open_mining_operation_flag_conflict_mineral	紛争鉱物 (3TG)	supply.conflictMineral	mineralCode	high
open-deep-sea-mining	flagStrategicSeabedClaim	deepSeaMining	open_deep_sea_mining_flag_strategic_seabed_claim	海底鉱物 戦略主張	maritime.seabedClaim	claimId	high
open-arctic-nsr	flagArcticMilitarization	arcticNsr	open_arctic_nsr_flag_arctic_militarization	NSR 軍事化	maritime.arcticMilitary	incidentVid	high
open-antarctic-treaty	flagAntarcticMilitary	antarcticTreaty	open_antarctic_treaty_flag_antarctic_military	南極条約違反	treaty.antarcticBreach	incidentVid	critical
open-bbnj-highseas	flagHighseasMilitary	bbnjHighseas	open_bbnj_highseas_flag_highseas_military	公海 軍事活動 (BBNJ)	maritime.highseasMilitary	incidentVid	high
open-orbital-debris	trackKesslerCascade	orbitalDebris	open_orbital_debris_track_kessler_cascade	Kessler カスケード追跡	space.kesslerCascade	eventVid	critical
open-space-traffic	trackHostileRpo	spaceTraffic	open_space_traffic_track_hostile_rpo	敵対 RPO 追跡	space.hostileRpo	satelliteVid	high
open-fatf-greylist	flagSanctionsEvasion	fatfGreylist	open_fatf_greylist_flag_sanctions_evasion	FATF Gray 制裁迂回	sanctions.fatfEvasion	entityLei	high
open-fatf-travel-rule	flagCryptoSanctionsEvasion	fatfTravelRule	open_fatf_travel_rule_flag_crypto_sanctions_evasion	crypto travel rule 迂回	sanctions.cryptoEvasion	vaspLei	high
open-crypto-mixer-sanction	flagMixerUseByDprk	cryptoMixerSanction	open_crypto_mixer_sanction_flag_mixer_use_by_dprk	DPRK Lazarus mixer	sanctions.dprkMixer	mixerLei	critical
open-biosecurity	flagBwcBreach	biosecurity	open_biosecurity_flag_bwc_breach	BWC 違反 (生物兵器)	bio.bwcBreach	labVid	critical
open-biosecurity	flagDualUseGof	biosecurity	open_biosecurity_flag_dual_use_gof	機能獲得 (GoF) 軍民両用	bio.gofDualUse	researchVid	critical
open-biosecurity-certification	trackBslExportControl	biosecurityCertification	open_biosecurity_certification_track_bsl_export_control	BSL 設備 輸出管理	bio.bslExport	equipmentVid	high
open-amr-surveillance	flagBioweaponSignal	amrSurveillance	open_amr_surveillance_flag_bioweapon_signal	薬剤耐性 → 兵器化兆候	bio.amrWeaponSignal	pathogen	critical
open-pharma-supply	flagCountermeasureGap	pharmaSupply	open_pharma_supply_flag_countermeasure_gap	医療対抗手段 ギャップ	pharma.countermeasureGap	drugCode	high
open-mrna-vaccine-hub	flagStrategicReserveBreach	mrnaVaccineHub	open_mrna_vaccine_hub_flag_strategic_reserve_breach	戦略 mRNA リザーブ侵害	pharma.mrnaReserveBreach	hubVid	critical
open-agri-food-security	flagFoodWeaponization	agriFoodSecurity	open_agri_food_security_flag_food_weaponization	食料 兵器化 フラグ	bio.foodWeaponization	incidentVid	critical
open-feed-provenance	flagAgroterrorism	feedProvenance	open_feed_provenance_flag_agroterrorism	農業テロ フラグ	bio.agroterrorism	incidentVid	critical
open-pandemic-prep	flagBioMilitaryStockpile	pandemicPrep	open_pandemic_prep_flag_bio_military_stockpile	軍事系 生物備蓄 フラグ	bio.militaryStockpile	stockpileVid	high
open-trusted-flagger	flagStateMandatedTakedown	trustedFlagger	open_trusted_flagger_flag_state_mandated_takedown	国家命令 takedown	info.stateTakedown	takedownId	high
open-content-moderation-appeal	flagPoliticalCensorship	contentModerationAppeal	open_content_moderation_appeal_flag_political_censorship	政治的検閲 フラグ	info.politicalCensorship	caseId	high
open-press-finance-coercion	flagStateMediaCoercion	pressFinanceCoercion	open_press_finance_coercion_flag_state_media_coercion	報道機関 国家強要	info.pressCoercion	outletLei	high
open-misinformation-observatory	flagCoordinatedCampaign	misinformationObservatory	open_misinformation_observatory_flag_coordinated_campaign	情報戦 協調キャンペーン	info.coordinatedCampaign	campaignVid	high
open-itu-spectrum	flagJamming	ituSpectrum	open_itu_spectrum_flag_jamming	電波妨害 (jamming) フラグ	ew.jamming	incidentVid	high
open-itu-spectrum	flagGnssSpoofing	ituSpectrum	open_itu_spectrum_flag_gnss_spoofing	GNSS spoofing フラグ	ew.gnssSpoof	incidentVid	critical
open-itu-spectrum	flagSatelliteUplinkInterference	ituSpectrum	open_itu_spectrum_flag_satellite_uplink_interference	衛星 アップリンク妨害	ew.satUplinkInterference	satelliteVid	high
open-quantum-safe-crypto	flagPqcMigrationLag	quantumSafeCrypto	open_quantum_safe_crypto_flag_pqc_migration_lag	PQC 移行遅延 (CNSA 2.0)	cyber.pqcLag	systemVid	high
open-qkd-quantum	registerMilitaryQkdLink	qkdQuantum	open_qkd_quantum_register_military_qkd_link	軍事 QKD リンク登録	cyber.militaryQkd	linkVid	info
open-c2pa-content-cred	flagAdversarialDeepfake	c2paContentCred	open_c2pa_content_cred_flag_adversarial_deepfake	敵対 deepfake (C2PA 失敗)	info.c2paFail	contentVid	high
open-spr	flagStrategicDrawdown	spr	open_spr_flag_strategic_drawdown	戦略石油備蓄 放出 (SPR)	energy.sprDrawdown	tranchId	info
arms	reportIncident	arms	arms_report_incident	銃器 事案 報告 (盗難・紛失・不正使用)	arms.incident	firearmVid	critical
arms	registerFirearm	arms	arms_register_firearm	銃器 登録 (製造番号 + 分類)	arms.register	serialHash	info
arms	transferCustody	arms	arms_transfer_custody	銃器 管理移転 (dual-DID 認証)	arms.transfer	firearmVid	high
