id,locale,cluster,intent,query,page_type,source_market,priority,notes
kw-0079,en,suv-offroad,compare,"Toyota Land Cruiser vs competitors",compare,japan,p1,localized-from-ja-with-market-notes
kw-0080,en,suv-offroad,ownership,"Toyota Land Cruiser ownership cost",ownership,japan,p1,localized-from-ja-with-market-notes
kw-0081,en,c-segment-sedan,spec,"Honda Civic specs",spec,japan,p1,localized-from-ja-with-market-notes
kw-0082,en,c-segment-sedan,review,"Honda Civic review",review,japan,p1,localized-from-ja-with-market-notes
kw-0083,en,c-segment-sedan,compare,"Honda Civic vs competitors",compare,japan,p1,localized-from-ja-with-market-notes
kw-0084,en,c-segment-sedan,ownership,"Honda Civic ownership cost",ownership,japan,p1,localized-from-ja-with-market-notes
kw-0085,en,kei,spec,"Honda N-Box specs",spec,japan,p1,localized-from-ja-with-market-notes
kw-0086,en,kei,review,"Honda N-Box review",review,japan,p1,localized-from-ja-with-market-notes
kw-0087,en,kei,compare,"Honda N-Box vs competitors",compare,japan,p1,localized-from-ja-with-market-notes
kw-0088,en,kei,ownership,"Honda N-Box ownership cost",ownership,japan,p1,localized-from-ja-with-market-notes
kw-0089,en,minivan,spec,"Honda Stepwgn specs",spec,japan,p1,localized-from-ja-with-market-notes
kw-0090,en,minivan,review,"Honda Stepwgn review",review,japan,p1,localized-from-ja-with-market-notes
kw-0091,en,minivan,compare,"Honda Stepwgn vs competitors",compare,japan,p1,localized-from-ja-with-market-notes
kw-0092,en,minivan,ownership,"Honda Stepwgn ownership cost",ownership,japan,p1,localized-from-ja-with-market-notes
kw-0093,en,minivan,spec,"Nissan Serena specs",spec,japan,p1,localized-from-ja-with-market-notes
kw-0094,en,minivan,review,"Nissan Serena review",review,japan,p1,localized-from-ja-with-market-notes
kw-0095,en,minivan,compare,"Nissan Serena vs competitors",compare,japan,p1,localized-from-ja-with-market-notes
kw-0096,en,minivan,ownership,"Nissan Serena ownership cost",ownership,japan,p1,localized-from-ja-with-market-notes
kw-0097,en,suv,spec,"Nissan X-Trail specs",spec,japan,p1,localized-from-ja-with-market-notes
kw-0098,en,suv,review,"Nissan X-Trail review",review,japan,p1,localized-from-ja-with-market-notes
kw-0099,en,suv,compare,"Nissan X-Trail vs competitors",compare,japan,p1,localized-from-ja-with-market-notes
kw-0100,en,suv,ownership,"Nissan X-Trail ownership cost",ownership,japan,p1,localized-from-ja-with-market-notes
kw-0101,en,suv,spec,"Mazda CX-5 specs",spec,japan,p1,localized-from-ja-with-market-notes
kw-0102,en,suv,review,"Mazda CX-5 review",review,japan,p1,localized-from-ja-with-market-notes
kw-0103,en,suv,compare,"Mazda CX-5 vs competitors",compare,japan,p1,localized-from-ja-with-market-notes
kw-0104,en,suv,ownership,"Mazda CX-5 ownership cost",ownership,japan,p1,localized-from-ja-with-market-notes
kw-0105,en,suv-awd,spec,"Subaru Forester specs",spec,japan,p1,localized-from-ja-with-market-notes
kw-0106,en,suv-awd,review,"Subaru Forester review",review,japan,p1,localized-from-ja-with-market-notes
kw-0107,en,suv-awd,compare,"Subaru Forester vs competitors",compare,japan,p1,localized-from-ja-with-market-notes
kw-0108,en,suv-awd,ownership,"Subaru Forester ownership cost",ownership,japan,p1,localized-from-ja-with-market-notes
kw-0109,en,kei-offroad,spec,"Suzuki Jimny specs",spec,japan,p1,localized-from-ja-with-market-notes
kw-0110,en,kei-offroad,review,"Suzuki Jimny review",review,japan,p1,localized-from-ja-with-market-notes
kw-0111,en,kei-offroad,compare,"Suzuki Jimny vs competitors",compare,japan,p1,localized-from-ja-with-market-notes
kw-0112,en,kei-offroad,ownership,"Suzuki Jimny ownership cost",ownership,japan,p1,localized-from-ja-with-market-notes
kw-0113,en,minivan-awd,spec,"Mitsubishi Delica D:5 specs",spec,japan,p1,localized-from-ja-with-market-notes
kw-0114,en,minivan-awd,review,"Mitsubishi Delica D:5 review",review,japan,p1,localized-from-ja-with-market-notes
kw-0115,en,minivan-awd,compare,"Mitsubishi Delica D:5 vs competitors",compare,japan,p1,localized-from-ja-with-market-notes
kw-0116,en,minivan-awd,ownership,"Mitsubishi Delica D:5 ownership cost",ownership,japan,p1,localized-from-ja-with-market-notes
kw-0117,en,luxury-suv,spec,"Lexus RX specs",spec,japan,p1,localized-from-ja-with-market-notes
kw-0118,en,luxury-suv,review,"Lexus RX review",review,japan,p1,localized-from-ja-with-market-notes
kw-0119,en,luxury-suv,compare,"Lexus RX vs competitors",compare,japan,p1,localized-from-ja-with-market-notes
kw-0120,en,luxury-suv,ownership,"Lexus RX ownership cost",ownership,japan,p1,localized-from-ja-with-market-notes
kw-0121,en,luxury-suv,spec,"Lexus NX specs",spec,japan,p1,localized-from-ja-with-market-notes
kw-0122,en,luxury-suv,review,"Lexus NX review",review,japan,p1,localized-from-ja-with-market-notes
kw-0123,en,luxury-suv,compare,"Lexus NX vs competitors",compare,japan,p1,localized-from-ja-with-market-notes
kw-0124,en,luxury-suv,ownership,"Lexus NX ownership cost",ownership,japan,p1,localized-from-ja-with-market-notes
kw-0125,en,van,spec,"Toyota HiAce specs",spec,japan,p1,localized-from-ja-with-market-notes
kw-0126,en,van,review,"Toyota HiAce review",review,japan,p1,localized-from-ja-with-market-notes
kw-0127,en,van,compare,"Toyota HiAce vs competitors",compare,japan,p1,localized-from-ja-with-market-notes
kw-0128,en,van,ownership,"Toyota HiAce ownership cost",ownership,japan,p1,localized-from-ja-with-market-notes
kw-0129,es,c-segment-sedan,spec,"especificaciones Toyota Corolla",spec,japan,p2,localized-from-ja-with-market-notes
kw-0130,es,c-segment-sedan,review,"reseña Toyota Corolla",review,japan,p2,localized-from-ja-with-market-notes
kw-0131,es,c-segment-sedan,compare,"Toyota Corolla vs competidores",compare,japan,p2,localized-from-ja-with-market-notes
kw-0132,es,c-segment-sedan,ownership,"costo de mantenimiento Toyota Corolla",ownership,japan,p2,localized-from-ja-with-market-notes
kw-0133,es,hybrid,spec,"especificaciones Toyota Prius",spec,japan,p2,localized-from-ja-with-market-notes
kw-0134,es,hybrid,review,"reseña Toyota Prius",review,japan,p2,localized-from-ja-with-market-notes
kw-0135,es,hybrid,compare,"Toyota Prius vs competidores",compare,japan,p2,localized-from-ja-with-market-notes
kw-0136,es,hybrid,ownership,"costo de mantenimiento Toyota Prius",ownership,japan,p2,localized-from-ja-with-market-notes
kw-0137,es,minivan,spec,"especificaciones Toyota Alphard",spec,japan,p2,localized-from-ja-with-market-notes
kw-0138,es,minivan,review,"reseña Toyota Alphard",review,japan,p2,localized-from-ja-with-market-notes
kw-0139,es,minivan,compare,"Toyota Alphard vs competidores",compare,japan,p2,localized-from-ja-with-market-notes
kw-0140,es,minivan,ownership,"costo de mantenimiento Toyota Alphard",ownership,japan,p2,localized-from-ja-with-market-notes
kw-0141,es,suv-offroad,spec,"especificaciones Toyota Land Cruiser",spec,japan,p2,localized-from-ja-with-market-notes
kw-0142,es,suv-offroad,review,"reseña Toyota Land Cruiser",review,japan,p2,localized-from-ja-with-market-notes
kw-0143,es,suv-offroad,compare,"Toyota Land Cruiser vs competidores",compare,japan,p2,localized-from-ja-with-market-notes
kw-0144,es,suv-offroad,ownership,"costo de mantenimiento Toyota Land Cruiser",ownership,japan,p2,localized-from-ja-with-market-notes
kw-0145,es,c-segment-sedan,spec,"especificaciones Honda Civic",spec,japan,p2,localized-from-ja-with-market-notes
kw-0146,es,c-segment-sedan,review,"reseña Honda Civic",review,japan,p2,localized-from-ja-with-market-notes
kw-0147,es,c-segment-sedan,compare,"Honda Civic vs competidores",compare,japan,p2,localized-from-ja-with-market-notes
kw-0148,es,c-segment-sedan,ownership,"costo de mantenimiento Honda Civic",ownership,japan,p2,localized-from-ja-with-market-notes
kw-0149,es,kei,spec,"especificaciones Honda N-Box",spec,japan,p2,localized-from-ja-with-market-notes
kw-0150,es,kei,review,"reseña Honda N-Box",review,japan,p2,localized-from-ja-with-market-notes
kw-0151,es,kei,compare,"Honda N-Box vs competidores",compare,japan,p2,localized-from-ja-with-market-notes
kw-0152,es,kei,ownership,"costo de mantenimiento Honda N-Box",ownership,japan,p2,localized-from-ja-with-market-notes
kw-0153,es,minivan,spec,"especificaciones Honda Stepwgn",spec,japan,p2,localized-from-ja-with-market-notes
kw-0154,es,minivan,review,"reseña Honda Stepwgn",review,japan,p2,localized-from-ja-with-market-notes
kw-0155,es,minivan,compare,"Honda Stepwgn vs competidores",compare,japan,p2,localized-from-ja-with-market-notes
kw-0156,es,minivan,ownership,"costo de mantenimiento Honda Stepwgn",ownership,japan,p2,localized-from-ja-with-market-notes
kw-0157,es,minivan,spec,"especificaciones Nissan Serena",spec,japan,p2,localized-from-ja-with-market-notes
kw-0158,es,minivan,review,"reseña Nissan Serena",review,japan,p2,localized-from-ja-with-market-notes
kw-0159,es,minivan,compare,"Nissan Serena vs competidores",compare,japan,p2,localized-from-ja-with-market-notes
kw-0160,es,minivan,ownership,"costo de mantenimiento Nissan Serena",ownership,japan,p2,localized-from-ja-with-market-notes
kw-0161,es,suv,spec,"especificaciones Nissan X-Trail",spec,japan,p2,localized-from-ja-with-market-notes
kw-0162,es,suv,review,"reseña Nissan X-Trail",review,japan,p2,localized-from-ja-with-market-notes
kw-0163,es,suv,compare,"Nissan X-Trail vs competidores",compare,japan,p2,localized-from-ja-with-market-notes
kw-0164,es,suv,ownership,"costo de mantenimiento Nissan X-Trail",ownership,japan,p2,localized-from-ja-with-market-notes
kw-0165,es,suv,spec,"especificaciones Mazda CX-5",spec,japan,p2,localized-from-ja-with-market-notes
kw-0166,es,suv,review,"reseña Mazda CX-5",review,japan,p2,localized-from-ja-with-market-notes
kw-0167,es,suv,compare,"Mazda CX-5 vs competidores",compare,japan,p2,localized-from-ja-with-market-notes
kw-0168,es,suv,ownership,"costo de mantenimiento Mazda CX-5",ownership,japan,p2,localized-from-ja-with-market-notes
kw-0169,es,suv-awd,spec,"especificaciones Subaru Forester",spec,japan,p2,localized-from-ja-with-market-notes
kw-0170,es,suv-awd,review,"reseña Subaru Forester",review,japan,p2,localized-from-ja-with-market-notes
kw-0171,es,suv-awd,compare,"Subaru Forester vs competidores",compare,japan,p2,localized-from-ja-with-market-notes
kw-0172,es,suv-awd,ownership,"costo de mantenimiento Subaru Forester",ownership,japan,p2,localized-from-ja-with-market-notes
kw-0173,es,kei-offroad,spec,"especificaciones Suzuki Jimny",spec,japan,p2,localized-from-ja-with-market-notes
kw-0174,es,kei-offroad,review,"reseña Suzuki Jimny",review,japan,p2,localized-from-ja-with-market-notes
kw-0175,es,kei-offroad,compare,"Suzuki Jimny vs competidores",compare,japan,p2,localized-from-ja-with-market-notes
kw-0176,es,kei-offroad,ownership,"costo de mantenimiento Suzuki Jimny",ownership,japan,p2,localized-from-ja-with-market-notes
kw-0177,es,minivan-awd,spec,"especificaciones Mitsubishi Delica D:5",spec,japan,p2,localized-from-ja-with-market-notes
kw-0178,es,minivan-awd,review,"reseña Mitsubishi Delica D:5",review,japan,p2,localized-from-ja-with-market-notes
kw-0179,es,minivan-awd,compare,"Mitsubishi Delica D:5 vs competidores",compare,japan,p2,localized-from-ja-with-market-notes
kw-0180,es,minivan-awd,ownership,"costo de mantenimiento Mitsubishi Delica D:5",ownership,japan,p2,localized-from-ja-with-market-notes
kw-0181,es,luxury-suv,spec,"especificaciones Lexus RX",spec,japan,p2,localized-from-ja-with-market-notes
kw-0182,es,luxury-suv,review,"reseña Lexus RX",review,japan,p2,localized-from-ja-with-market-notes
kw-0183,es,luxury-suv,compare,"Lexus RX vs competidores",compare,japan,p2,localized-from-ja-with-market-notes
kw-0184,es,luxury-suv,ownership,"costo de mantenimiento Lexus RX",ownership,japan,p2,localized-from-ja-with-market-notes
kw-0185,es,luxury-suv,spec,"especificaciones Lexus NX",spec,japan,p2,localized-from-ja-with-market-notes
kw-0186,es,luxury-suv,review,"reseña Lexus NX",review,japan,p2,localized-from-ja-with-market-notes
kw-0187,es,luxury-suv,compare,"Lexus NX vs competidores",compare,japan,p2,localized-from-ja-with-market-notes
kw-0188,es,luxury-suv,ownership,"costo de mantenimiento Lexus NX",ownership,japan,p2,localized-from-ja-with-market-notes
kw-0189,es,van,spec,"especificaciones Toyota HiAce",spec,japan,p2,localized-from-ja-with-market-notes
kw-0190,es,van,review,"reseña Toyota HiAce",review,japan,p2,localized-from-ja-with-market-notes
kw-0191,es,van,compare,"Toyota HiAce vs competidores",compare,japan,p2,localized-from-ja-with-market-notes
kw-0192,es,van,ownership,"costo de mantenimiento Toyota HiAce",ownership,japan,p2,localized-from-ja-with-market-notes
kw-0193,pt,c-segment-sedan,spec,"especificacoes Toyota Corolla",spec,japan,p2,localized-from-ja-with-market-notes
kw-0194,pt,c-segment-sedan,review,"avaliacao Toyota Corolla",review,japan,p2,localized-from-ja-with-market-notes
kw-0195,pt,c-segment-sedan,compare,"Toyota Corolla vs concorrentes",compare,japan,p2,localized-from-ja-with-market-notes
kw-0196,pt,c-segment-sedan,ownership,"custo de manutencao Toyota Corolla",ownership,japan,p2,localized-from-ja-with-market-notes
kw-0197,pt,hybrid,spec,"especificacoes Toyota Prius",spec,japan,p2,localized-from-ja-with-market-notes
kw-0198,pt,hybrid,review,"avaliacao Toyota Prius",review,japan,p2,localized-from-ja-with-market-notes
kw-0199,pt,hybrid,compare,"Toyota Prius vs concorrentes",compare,japan,p2,localized-from-ja-with-market-notes
kw-0200,pt,hybrid,ownership,"custo de manutencao Toyota Prius",ownership,japan,p2,localized-from-ja-with-market-notes
kw-0201,pt,minivan,spec,"especificacoes Toyota Alphard",spec,japan,p2,localized-from-ja-with-market-notes
kw-0202,pt,minivan,review,"avaliacao Toyota Alphard",review,japan,p2,localized-from-ja-with-market-notes
kw-0203,pt,minivan,compare,"Toyota Alphard vs concorrentes",compare,japan,p2,localized-from-ja-with-market-notes
kw-0204,pt,minivan,ownership,"custo de manutencao Toyota Alphard",ownership,japan,p2,localized-from-ja-with-market-notes
kw-0205,pt,suv-offroad,spec,"especificacoes Toyota Land Cruiser",spec,japan,p2,localized-from-ja-with-market-notes
kw-0206,pt,suv-offroad,review,"avaliacao Toyota Land Cruiser",review,japan,p2,localized-from-ja-with-market-notes
kw-0207,pt,suv-offroad,compare,"Toyota Land Cruiser vs concorrentes",compare,japan,p2,localized-from-ja-with-market-notes
kw-0208,pt,suv-offroad,ownership,"custo de manutencao Toyota Land Cruiser",ownership,japan,p2,localized-from-ja-with-market-notes
kw-0209,pt,c-segment-sedan,spec,"especificacoes Honda Civic",spec,japan,p2,localized-from-ja-with-market-notes
kw-0210,pt,c-segment-sedan,review,"avaliacao Honda Civic",review,japan,p2,localized-from-ja-with-market-notes
kw-0211,pt,c-segment-sedan,compare,"Honda Civic vs concorrentes",compare,japan,p2,localized-from-ja-with-market-notes
kw-0212,pt,c-segment-sedan,ownership,"custo de manutencao Honda Civic",ownership,japan,p2,localized-from-ja-with-market-notes
kw-0213,pt,kei,spec,"especificacoes Honda N-Box",spec,japan,p2,localized-from-ja-with-market-notes
kw-0214,pt,kei,review,"avaliacao Honda N-Box",review,japan,p2,localized-from-ja-with-market-notes
kw-0215,pt,kei,compare,"Honda N-Box vs concorrentes",compare,japan,p2,localized-from-ja-with-market-notes
kw-0216,pt,kei,ownership,"custo de manutencao Honda N-Box",ownership,japan,p2,localized-from-ja-with-market-notes
kw-0217,pt,minivan,spec,"especificacoes Honda Stepwgn",spec,japan,p2,localized-from-ja-with-market-notes
kw-0218,pt,minivan,review,"avaliacao Honda Stepwgn",review,japan,p2,localized-from-ja-with-market-notes
kw-0219,pt,minivan,compare,"Honda Stepwgn vs concorrentes",compare,japan,p2,localized-from-ja-with-market-notes
kw-0220,pt,minivan,ownership,"custo de manutencao Honda Stepwgn",ownership,japan,p2,localized-from-ja-with-market-notes
kw-0221,pt,minivan,spec,"especificacoes Nissan Serena",spec,japan,p2,localized-from-ja-with-market-notes
kw-0222,pt,minivan,review,"avaliacao Nissan Serena",review,japan,p2,localized-from-ja-with-market-notes
kw-0223,pt,minivan,compare,"Nissan Serena vs concorrentes",compare,japan,p2,localized-from-ja-with-market-notes
kw-0224,pt,minivan,ownership,"custo de manutencao Nissan Serena",ownership,japan,p2,localized-from-ja-with-market-notes
kw-0225,pt,suv,spec,"especificacoes Nissan X-Trail",spec,japan,p2,localized-from-ja-with-market-notes
kw-0226,pt,suv,review,"avaliacao Nissan X-Trail",review,japan,p2,localized-from-ja-with-market-notes
kw-0227,pt,suv,compare,"Nissan X-Trail vs concorrentes",compare,japan,p2,localized-from-ja-with-market-notes
kw-0228,pt,suv,ownership,"custo de manutencao Nissan X-Trail",ownership,japan,p2,localized-from-ja-with-market-notes
kw-0229,pt,suv,spec,"especificacoes Mazda CX-5",spec,japan,p2,localized-from-ja-with-market-notes
kw-0230,pt,suv,review,"avaliacao Mazda CX-5",review,japan,p2,localized-from-ja-with-market-notes
kw-0231,pt,suv,compare,"Mazda CX-5 vs concorrentes",compare,japan,p2,localized-from-ja-with-market-notes
kw-0232,pt,suv,ownership,"custo de manutencao Mazda CX-5",ownership,japan,p2,localized-from-ja-with-market-notes
kw-0233,pt,suv-awd,spec,"especificacoes Subaru Forester",spec,japan,p2,localized-from-ja-with-market-notes
kw-0234,pt,suv-awd,review,"avaliacao Subaru Forester",review,japan,p2,localized-from-ja-with-market-notes
kw-0235,pt,suv-awd,compare,"Subaru Forester vs concorrentes",compare,japan,p2,localized-from-ja-with-market-notes
kw-0236,pt,suv-awd,ownership,"custo de manutencao Subaru Forester",ownership,japan,p2,localized-from-ja-with-market-notes
kw-0237,pt,kei-offroad,spec,"especificacoes Suzuki Jimny",spec,japan,p2,localized-from-ja-with-market-notes
kw-0238,pt,kei-offroad,review,"avaliacao Suzuki Jimny",review,japan,p2,localized-from-ja-with-market-notes
kw-0239,pt,kei-offroad,compare,"Suzuki Jimny vs concorrentes",compare,japan,p2,localized-from-ja-with-market-notes
kw-0240,pt,kei-offroad,ownership,"custo de manutencao Suzuki Jimny",ownership,japan,p2,localized-from-ja-with-market-notes
kw-0241,pt,minivan-awd,spec,"especificacoes Mitsubishi Delica D:5",spec,japan,p2,localized-from-ja-with-market-notes
kw-0242,pt,minivan-awd,review,"avaliacao Mitsubishi Delica D:5",review,japan,p2,localized-from-ja-with-market-notes
kw-0243,pt,minivan-awd,compare,"Mitsubishi Delica D:5 vs concorrentes",compare,japan,p2,localized-from-ja-with-market-notes
kw-0244,pt,minivan-awd,ownership,"custo de manutencao Mitsubishi Delica D:5",ownership,japan,p2,localized-from-ja-with-market-notes
kw-0245,pt,luxury-suv,spec,"especificacoes Lexus RX",spec,japan,p2,localized-from-ja-with-market-notes
kw-0246,pt,luxury-suv,review,"avaliacao Lexus RX",review,japan,p2,localized-from-ja-with-market-notes
kw-0247,pt,luxury-suv,compare,"Lexus RX vs concorrentes",compare,japan,p2,localized-from-ja-with-market-notes
kw-0248,pt,luxury-suv,ownership,"custo de manutencao Lexus RX",ownership,japan,p2,localized-from-ja-with-market-notes
kw-0249,pt,luxury-suv,spec,"especificacoes Lexus NX",spec,japan,p2,localized-from-ja-with-market-notes
kw-0250,pt,luxury-suv,review,"avaliacao Lexus NX",review,japan,p2,localized-from-ja-with-market-notes
kw-0251,pt,luxury-suv,compare,"Lexus NX vs concorrentes",compare,japan,p2,localized-from-ja-with-market-notes
kw-0252,pt,luxury-suv,ownership,"custo de manutencao Lexus NX",ownership,japan,p2,localized-from-ja-with-market-notes
kw-0253,pt,van,spec,"especificacoes Toyota HiAce",spec,japan,p2,localized-from-ja-with-market-notes
kw-0254,pt,van,review,"avaliacao Toyota HiAce",review,japan,p2,localized-from-ja-with-market-notes
kw-0255,pt,van,compare,"Toyota HiAce vs concorrentes",compare,japan,p2,localized-from-ja-with-market-notes
kw-0256,pt,van,ownership,"custo de manutencao Toyota HiAce",ownership,japan,p2,localized-from-ja-with-market-notes
kw-0257,de,c-segment-sedan,spec,"Toyota Corolla technische daten",spec,japan,p3,localized-from-ja-with-market-notes
kw-0258,de,c-segment-sedan,review,"Toyota Corolla testbericht",review,japan,p3,localized-from-ja-with-market-notes
kw-0259,de,c-segment-sedan,compare,"Toyota Corolla vergleich",compare,japan,p3,localized-from-ja-with-market-notes
kw-0260,de,c-segment-sedan,ownership,"Toyota Corolla unterhaltskosten",ownership,japan,p3,localized-from-ja-with-market-notes
